Doculect,Group
High German (Biel),Alpine Germanic
High German (Bodensee),Alpine Germanic
High German (Graubuenden),Alpine Germanic
High German (Herrlisheim),High Franconian
High German (Ortisei),Alpine Germanic
High German (Tuebingen),Alpine Germanic
High German (Walser),Alpine Germanic
Central German (Cologne),High Franconian
Central German (Honigberg),TODO
Central German (Luxembourg),High Franconian
Central German (Murrhardt),TODO
German,High Franconian
Low German (Achterhoek),Low German
Low German (Bargstedt),Low German
Dutch,Low Franconian
Belgian Dutch,Low Franconian
Dutch (Antwerp),Low Franconian
Dutch (Limburg),Low Franconian
Dutch (Ostend),Low Franconian
West Frisian (Grou),Frisian
