longitude,latitude,doculect,pos
6.5166699999999995,52.11667,Achterhoek,4
4.4,51.21667,Antwerp,3
7.24,47.15,Biel,2
6.96667,50.95,Cologne,4
4.35,50.85,Dutch Std BE,2
5.122000000000001,52.091,Dutch Std NL,2
8.5,54.71666999999999,Feer,2
9.45365,46.70013,Graubuenden,2
5.83,53.1,Grou,2
9.68,47.48,Hard,4
7.885280000000001,54.1825,Heligoland,2
7.9068,48.730059999999995,Herrlisheim,2
6.05917,50.8925,Limburg,1
6.11667,49.6,Luxembourg,4
11.66667,46.56667,Ortisei,1
2.91667,51.23333,Ostend,2
9.0521,48.5229,Tuebingen,4
6.87114,53.10041999999999,Veenkolonien,4
9.53,47.12,Walser,4
6.3887,53.16444,Westerkwartier,3
